id,iso_369_3_code
base.lang_en,eng
base.lang_am_ET,
base.lang_ar_SY,ara
base.lang_eu_ES,eus
base.lang_bs_BA,
base.lang_bg,bul
base.lang_ca_ES,cat
base.lang_zh_CN,
base.lang_zh_HK,
base.lang_zh_TW,
base.lang_hr,hrv
base.lang_cs_CZ,ces
base.lang_da_DK,dan
base.lang_nl_BE,nld
base.lang_nl,
base.lang_en_AU,eng
base.lang_en_GB,eng
base.lang_et_EE,est
base.lang_fi,fin
base.lang_fr_BE,fra
base.lang_fr_CA,frm
base.lang_fr_CH,frm
base.lang_fr,fra
base.lang_gl_ES,glg
base.lang_ka_GE,cat
base.lang_de,deu
base.lang_de_CH,
base.lang_el_GR,ell
base.lang_gu_IN,
base.lang_he_IL,heb
base.lang_hi_IN,hin
base.lang_hu,hun
base.lang_id,ind
base.lang_it,ita
base.lang_ja_JP,jpn
base.lang_kab_DZ,
base.lang_km,
base.lang_ko_KP,kor
base.lang_ko_KR,kor
base.lang_lo_LA,
base.lang_lv,lav
base.lang_lt,lit
base.lang_mk,mkd
base.lang_mn,
base.lang_my,
base.lang_nb_NO,nor
base.lang_fa_IR,
base.lang_pl,pol
base.lang_pt_BR,por
base.lang_pt,por
base.lang_ro,ron
base.lang_ru,rus
base.lang_sr_RS,srp
base.lang_sr@latin,srp
base.lang_sk,slk
base.lang_sl_SI,slv
base.lang_es_AR,spa
base.lang_es_BO,spa
base.lang_es_CL,spa
base.lang_es_CO,spa
base.lang_es_CR,spa
base.lang_es_DO,spa
base.lang_es_EC,spa
base.lang_es_GT,spa
base.lang_es_MX,spa
base.lang_es_PA,spa
base.lang_es_PE,spa
base.lang_es_PY,spa
base.lang_es_UY,spa
base.lang_es_VE,spa
base.lang_es,spa
base.lang_sv_SE,swe
base.lang_th,tha
base.lang_tr,tur
base.lang_uk_UA,ukr
base.lang_vi_VN,vie
base.lang_sq_AL,sqi
base.lang_te_IN,tel
